Id,CINNumber,Pan,CompanyRefNo,DPSU_Fk_Id,CompanyName,POC_Email,Phone,EmailId,Address,CityName,PinCode,Country_Fk_id,District,State,Website,Logo,CompanyScale_Fk_Id,CompanyType_Fk_Id,IndustryDomain_Fk_Id,IndustrySubDomain_Fk_Id,CompanyCoreExpertise_Fk_Id,CompanyRegistrationDate,CompanyStatus,CompanyCategory,CompanySubCategory,CompanyClass,ListingStatus,CompanyROC,CompanyIndustrialClassification,OtherScale,OtherCompanyType,OtherCompanyCoreExpertise,OtherCompIndDomain,OtherCompIndSubDomain,Final_Submit,IsActive,CreatedDate,CreatedBy,IPAddress
1,CIN00001,PAN00001,CMP001,DPSU1,Company_001,contact@company_001.com,1234567890,info@company_001.com,Address 1,City1,100001,2,District1,State1,https://company_001.com,,2,2,2,2,2,2023-01-01,Active,CategoryA,SubCatA,ClassA,Listed,ROC,IC1,,,,,,1,True,2025-08-03T13:55:36.867000,1,127.0.0.1
2,CIN00002,PAN00002,CMP002,DPSU2,Company_002,contact@company_002.com,1234567890,info@company_002.com,Address 2,City2,100002,3,District2,State2,https://company_002.com,,3,3,3,3,3,2023-01-01,Active,CategoryA,SubCatA,ClassA,Listed,ROC,IC2,,,,,,1,True,2025-08-03T13:55:36.870000,1,127.0.0.1
3,CIN00003,PAN00003,CMP003,DPSU3,Company_003,contact@company_003.com,1234567890,info@company_003.com,Address 3,City3,100003,4,District3,State3,https://company_003.com,,4,4,4,4,4,2023-01-01,Active,CategoryA,SubCatA,ClassA,Listed,ROC,IC3,,,,,,1,True,2025-08-03T13:55:36.870000,1,127.0.0.1
4,CIN00004,PAN00004,CMP004,DPSU4,Company_004,contact@company_004.com,1234567890,info@company_004.com,Address 4,City4,100004,1,District4,State4,https://company_004.com,,5,5,5,5,5,2023-01-01,Active,CategoryA,SubCatA,ClassA,Listed,ROC,IC4,,,,,,1,True,2025-08-03T13:55:36.870000,1,127.0.0.1
5,CIN00005,PAN00005,CMP005,DPSU5,Company_005,contact@company_005.com,1234567890,info@company_005.com,Address 5,City5,100005,2,District5,State5,https://company_005.com,,1,1,1,1,1,2023-01-01,Active,CategoryA,SubCatA,ClassA,Listed,ROC,IC5,,,,,,1,True,2025-08-03T13:55:36.873000,1,127.0.0.1
6,CIN00006,PAN00006,CMP006,DPSU6,Company_006,contact@company_006.com,1234567890,info@company_006.com,Address 6,City6,100006,3,District6,State6,https://company_006.com,,2,2,2,2,2,2023-01-01,Active,CategoryA,SubCatA,ClassA,Listed,ROC,IC6,,,,,,1,True,2025-08-03T13:55:36.873000,1,127.0.0.1
7,CIN00007,PAN00007,CMP007,DPSU7,Company_007,contact@company_007.com,1234567890,info@company_007.com,Address 7,City7,100007,4,District7,State7,https://company_007.com,,3,3,3,3,3,2023-01-01,Active,CategoryA,SubCatA,ClassA,Listed,ROC,IC7,,,,,,1,True,2025-08-03T13:55:36.873000,1,127.0.0.1
8,CIN00008,PAN00008,CMP008,DPSU8,Company_008,contact@company_008.com,1234567890,info@company_008.com,Address 8,City8,100008,1,District8,State8,https://company_008.com,,4,4,4,4,4,2023-01-01,Active,CategoryA,SubCatA,ClassA,Listed,ROC,IC8,,,,,,1,True,2025-08-03T13:55:36.873000,1,127.0.0.1
9,CIN00009,PAN00009,CMP009,DPSU9,Company_009,contact@company_009.com,1234567890,info@company_009.com,Address 9,City9,100009,2,District9,State9,https://company_009.com,,5,5,5,5,5,2023-01-01,Active,CategoryA,SubCatA,ClassA,Listed,ROC,IC9,,,,,,1,True,2025-08-03T13:55:36.873000,1,127.0.0.1
10,CIN00010,PAN00010,CMP010,DPSU10,Company_010,contact@company_010.com,1234567890,info@company_010.com,Address 10,City10,1000010,3,District10,State10,https://company_010.com,,1,1,1,1,1,2023-01-01,Active,CategoryA,SubCatA,ClassA,Listed,ROC,IC10,,,,,,1,True,2025-08-03T13:55:36.877000,1,127.0.0.1
11,CIN00011,PAN00011,CMP011,DPSU11,Company_011,contact@company_011.com,1234567890,info@company_011.com,Address 11,City11,1000011,4,District11,State11,https://company_011.com,,2,2,2,2,2,2023-01-01,Active,CategoryA,SubCatA,ClassA,Listed,ROC,IC11,,,,,,1,True,2025-08-03T13:55:36.877000,1,127.0.0.1
12,CIN00012,PAN00012,CMP012,DPSU12,Company_012,contact@company_012.com,1234567890,info@company_012.com,Address 12,City12,1000012,1,District12,State12,https://company_012.com,,3,3,3,3,3,2023-01-01,Active,CategoryA,SubCatA,ClassA,Listed,ROC,IC12,,,,,,1,True,2025-08-03T13:55:36.877000,1,127.0.0.1
13,CIN00013,PAN00013,CMP013,DPSU13,Company_013,contact@company_013.com,1234567890,info@company_013.com,Address 13,City13,1000013,2,District13,State13,https://company_013.com,,4,4,4,4,4,2023-01-01,Active,CategoryA,SubCatA,ClassA,Listed,ROC,IC13,,,,,,1,True,2025-08-03T13:55:36.877000,1,127.0.0.1
14,CIN00014,PAN00014,CMP014,DPSU14,Company_014,contact@company_014.com,1234567890,info@company_014.com,Address 14,City14,1000014,3,District14,State14,https://company_014.com,,5,5,5,5,5,2023-01-01,Active,CategoryA,SubCatA,ClassA,Listed,ROC,IC14,,,,,,1,True,2025-08-03T13:55:36.880000,1,127.0.0.1
15,CIN00015,PAN00015,CMP015,DPSU15,Company_015,contact@company_015.com,1234567890,info@company_015.com,Address 15,City15,1000015,4,District15,State15,https://company_015.com,,1,1,1,1,1,2023-01-01,Active,CategoryA,SubCatA,ClassA,Listed,ROC,IC15,,,,,,1,True,2025-08-03T13:55:36.880000,1,127.0.0.1
16,CIN00016,PAN00016,CMP016,DPSU16,Company_016,contact@company_016.com,1234567890,info@company_016.com,Address 16,City16,1000016,1,District16,State16,https://company_016.com,,2,2,2,2,2,2023-01-01,Active,CategoryA,SubCatA,ClassA,Listed,ROC,IC16,,,,,,1,True,2025-08-03T13:55:36.880000,1,127.0.0.1
17,CIN00017,PAN00017,CMP017,DPSU17,Company_017,contact@company_017.com,1234567890,info@company_017.com,Address 17,City17,1000017,2,District17,State17,https://company_017.com,,3,3,3,3,3,2023-01-01,Active,CategoryA,SubCatA,ClassA,Listed,ROC,IC17,,,,,,1,True,2025-08-03T13:55:36.880000,1,127.0.0.1
18,CIN00018,PAN00018,CMP018,DPSU18,Company_018,contact@company_018.com,1234567890,info@company_018.com,Address 18,City18,1000018,3,District18,State18,https://company_018.com,,4,4,4,4,4,2023-01-01,Active,CategoryA,SubCatA,ClassA,Listed,ROC,IC18,,,,,,1,True,2025-08-03T13:55:36.880000,1,127.0.0.1
